a15-watt, a17-watt, gpu-watt, mem-watt

0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000000
1.613000, 0.173000, 0.000000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.613000, 0.173000, 0.126000, 0.044000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.114000, 0.158000, 0.126000, 0.029000
1.103000, 0.158000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.103000, 0.159000, 0.126000, 0.029000
1.098000, 0.159000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.098000, 0.152000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
1.096000, 0.150000, 0.126000, 0.029000
